Place,Latitude,Longitude,District,accidents,landslide,avalanche,flood,earthquake_damage,Hospital,Police,Fire Station,Emergency_Risk,Natural_Disaster_Risk,Tourism_Risk_Index,Risk_Category
Mai Pokhari Wetland,26.9800,87.9000,Ilam,3,4,0,10,4,50,40,15,15,35,40.0,MEDIUM
Sandakpur Himalayan View,27.0000,87.9000,Ilam,8,12,5,2,8,5,5,2,70,75,78.0,HIGH
Tinjure Ridge Camp,27.2500,87.5000,Tehrathum,10,15,6,2,8,0,0,0,100,85,88.0,HIGH
Gupha Pokhari Camp,27.2200,87.5500,Tehrathum,8,12,4,3,7,5,5,2,70,75,78.0,HIGH
Milke Danda Flower Trail,27.3000,87.4500,Tehrathum,12,16,8,2,9,0,0,0,100,90,92.0,HIGH
Pathibhara Lower Route,27.3500,87.7000,Taplejung,10,15,8,2,9,0,0,0,100,90,92.0,HIGH
Kanchenjunga Glacier Camp,27.9000,88.1000,Taplejung,20,20,20,0,10,0,0,0,100,100,99.0,HIGH
Ghunsa Glacier Lake,27.7500,87.9500,Taplejung,18,20,18,0,10,0,0,0,100,100,99.0,HIGH
Olangchung Gola Pass,27.9000,87.8000,Taplejung,16,20,15,0,10,0,0,0,100,100,98.0,HIGH
Maiwa Khola Camp,27.6500,87.7000,Taplejung,8,12,5,3,8,5,5,2,70,75,78.0,HIGH
Barun Conservation Area,27.7000,87.1000,Sankhuwasabha,9,18,16,1,10,0,0,0,100,100,100.0,HIGH
Num Valley Trail,27.5800,87.1500,Sankhuwasabha,6,13,8,2,8,0,1,0,95,90,93.0,HIGH
Khadbari Market,27.3800,87.2000,Sankhuwasabha,1,3,0,5,4,15,12,3,30,35,32.0,LOW
Arun River Rafting,27.5000,87.1800,Sankhuwasabha,7,2,0,15,3,3,3,1,85,70,78.0,HIGH
Salpa Pass Trail,27.4500,86.9500,Bhojpur,8,16,10,2,9,0,0,0,100,95,98.0,HIGH
Temke Danda,27.3000,86.9500,Bhojpur,5,12,5,2,8,0,1,0,95,85,89.0,HIGH
Silichung Mountain,27.5500,87.0000,Bhojpur,10,19,18,1,10,0,0,0,100,100,100.0,HIGH
Hatuwagadhi Area,27.2000,87.0500,Bhojpur,3,7,1,4,6,2,2,0,75,65,69.0,HIGH
Miklagarh View,27.3000,87.1000,Bhojpur,2,5,0,3,5,5,4,1,55,50,52.0,MEDIUM
Khotang Diktel Trail,27.2000,86.7900,Khotang,3,8,2,4,6,2,2,0,80,75,78.0,HIGH
Halesi Cave Route,27.3200,86.7200,Khotang,1,2,0,3,4,20,15,5,15,15,15.0,LOW
Aiselukharka Area,27.3500,86.8000,Khotang,3,7,1,5,6,2,2,0,75,70,73.0,HIGH
Lamidanda Airport,27.2500,86.9000,Khotang,2,4,0,3,5,8,6,2,50,45,47.0,MEDIUM
Okhaldhunga Siddhicharan,27.3200,86.5000,Okhaldhunga,1,4,0,4,5,10,8,2,45,40,42.0,MEDIUM
Tholedemba Hill,27.2500,86.6000,Okhaldhunga,4,10,3,3,7,1,1,0,90,80,84.0,HIGH
Pike Peak Okhaldhunga,27.6000,86.6000,Okhaldhunga,7,15,10,2,9,0,0,0,100,95,98.0,HIGH
Likhu River Area,27.4000,86.4000,Okhaldhunga,5,2,0,14,3,4,3,1,75,70,73.0,HIGH
Kakani Nuwakot,27.8000,85.2600,Nuwakot,2,5,0,3,5,10,8,2,50,45,47.0,MEDIUM
Trishuli River Nuwakot,28.0000,85.2000,Nuwakot,7,1,0,18,4,3,3,1,90,75,84.0,HIGH
Nuwakot Durbar,27.9200,85.1700,Nuwakot,1,3,0,4,6,15,12,3,30,35,32.0,LOW
Kakani Hiking Trail,27.8000,85.2500,Nuwakot,3,6,0,3,5,8,6,2,60,55,58.0,MEDIUM
Langtang National Park,28.2000,85.5000,Rasuwa,8,17,13,2,10,0,0,0,100,100,100.0,HIGH
Syabrubesi,28.1500,85.3700,Rasuwa,2,6,1,5,7,5,4,1,65,60,62.0,MEDIUM
Dhunche View Point,28.1100,85.3000,Rasuwa,2,5,0,4,7,8,6,2,55,50,52.0,MEDIUM
Gosainkunda Pass,28.0800,85.4200,Rasuwa,9,18,16,1,10,0,0,0,100,100,100.0,HIGH
Helambu Village,28.0500,85.5000,Sindhupalchok,5,12,7,2,8,1,1,0,95,90,93.0,HIGH
Panch Pokhari Trail,28.0000,85.6500,Sindhupalchok,6,14,8,2,9,0,0,0,100,95,98.0,HIGH
Jugal Himal,28.1000,85.8000,Sindhupalchok,9,18,15,1,10,0,0,0,100,100,100.0,HIGH
Melamchi River,28.0000,85.6000,Sindhupalchok,5,2,0,16,4,3,3,1,80,75,78.0,HIGH
Tatopani Sindhupalchok,27.9500,85.9500,Sindhupalchok,3,5,0,15,6,5,4,1,65,70,68.0,HIGH
Kalinchowk Dolakha,27.8000,86.0200,Dolakha,5,12,8,2,8,1,1,0,95,90,93.0,HIGH
Charikot,27.6700,86.0500,Dolakha,1,3,0,3,5,12,10,3,30,30,30.0,LOW
Rolwaling Valley,27.9000,86.4000,Dolakha,10,19,18,1,10,0,0,0,100,100,100.0,HIGH
Tsho Rolpa Lake,27.8500,86.4500,Dolakha,9,18,16,1,10,0,0,0,100,100,100.0,HIGH
Jiri Bazaar,27.6300,86.2300,Dolakha,2,5,0,4,6,10,8,2,50,45,47.0,MEDIUM
Pikey Peak,27.6500,86.6000,Ramechhap,6,14,8,2,9,0,0,0,100,95,98.0,HIGH
Manthali Airport,27.3900,86.0700,Ramechhap,1,2,0,5,4,20,15,5,20,25,22.0,LOW
Likhu Khola Trail,27.4500,86.3000,Ramechhap,5,10,4,3,7,1,1,0,90,85,87.0,HIGH
Everest View Hotel Route,27.9600,86.7300,Solukhumbu,5,10,7,1,9,1,1,0,90,95,92.0,HIGH
Khumjung Village,27.8300,86.7500,Solukhumbu,5,11,8,1,9,0,0,0,100,95,98.0,HIGH
Tengboche Monastery,27.8400,86.7700,Solukhumbu,7,14,10,1,10,0,0,0,100,98,99.0,HIGH
Lukla Airport,27.6870,86.7310,Solukhumbu,12,3,0,1,8,2,2,1,60,50,55.0,MEDIUM
Koshi Hill View Trail,27.2000,87.3500,Dhankuta,4,7,0,4,6,25,20,5,35,50,55.0,MEDIUM
Namaste Jharana,26.8500,87.3000,Dhankuta,3,5,0,8,4,40,30,10,25,45,50.0,MEDIUM
Hile Tea Garden,26.9200,87.3400,Dhankuta,1,2,0,4,3,80,70,25,5,15,20.0,LOW
Rhododendron Forest Trail,27.2500,87.5000,Tehrathum,8,12,5,2,8,5,5,2,70,75,78.0,HIGH
Basantapur Ridge,27.2300,87.3300,Tehrathum,3,5,0,5,5,40,30,10,25,40,45.0,MEDIUM
Tamor River Camp,27.3500,87.4500,Panchthar,7,4,0,18,6,15,10,3,60,75,80.0,HIGH
Phidim View Point,27.1500,87.7500,Panchthar,2,4,0,5,5,50,40,15,15,30,35.0,LOW
Siddha Devi Temple Trail,27.2000,87.8000,Panchthar,3,5,0,5,5,40,30,10,25,40,45.0,MEDIUM
Kangchenjunga South Camp,27.7000,88.0000,Taplejung,20,20,20,0,10,0,0,0,100,100,99.0,HIGH
Yamphudin Village,27.6500,87.9000,Taplejung,12,16,8,2,9,0,0,0,100,90,92.0,HIGH
Torong La Alternative Trail,28.8000,84.6000,Manang,20,20,20,0,10,0,0,0,100,100,99.0,HIGH
Tilicho Lake Route,28.7000,84.0200,Manang,18,20,15,0,10,0,0,0,100,100,98.0,HIGH
Tilicho Base Camp,28.6500,84.0500,Manang,15,18,12,1,10,0,0,0,100,95,95.0,HIGH
Ice Lake Manang,28.6500,84.0000,Manang,16,20,15,0,10,0,0,0,100,100,98.0,HIGH
Gangapurna Lake,28.6700,84.0200,Manang,10,15,8,2,9,0,0,0,100,90,92.0,HIGH
Pisand Valley Route,28.6000,84.1500,Manang,12,16,8,2,9,0,0,0,100,90,92.0,HIGH
Nar Phu Hidden Valley,28.9500,84.3500,Manang,18,20,18,0,10,0,0,0,100,100,99.0,HIGH
Mustang Damodar Kunda,29.0000,84.1000,Mustang,18,20,15,0,10,0,0,0,100,100,98.0,HIGH
Yara Village Mustang,29.1500,83.9000,Mustang,12,16,8,0,9,0,0,0,100,90,92.0,HIGH
Tangbe Village,28.9000,83.8000,Mustang,8,12,5,0,8,5,5,2,70,75,78.0,HIGH
Chhusang Village,28.9500,83.8000,Mustang,7,10,3,1,8,5,5,2,65,70,72.0,HIGH
Tetang Village,29.0000,83.8500,Mustang,8,12,5,0,8,5,5,2,70,75,78.0,HIGH
Nile Village Upper Mustang,29.2500,83.9500,Mustang,14,18,10,0,9,0,0,0,100,95,95.0,HIGH
Chhoser Cave,29.2600,83.9500,Mustang,5,8,0,0,7,10,10,3,65,70,72.0,HIGH
Kagbeni Muktinath Trail,28.8500,83.7800,Mustang,8,12,5,2,8,5,5,2,70,75,78.0,HIGH
Jomsom Wind Valley,28.7800,83.7200,Mustang,7,10,3,3,7,5,5,2,65,70,72.0,HIGH
Marpha Apple Village,28.7500,83.7000,Mustang,2,4,0,5,5,40,30,10,25,40,45.0,MEDIUM
Tukche Village,28.7300,83.6900,Mustang,3,5,0,5,5,40,30,10,25,40,45.0,MEDIUM
Lete Village,28.6200,83.6500,Mustang,4,7,2,5,6,20,15,5,40,55,60.0,MEDIUM
Kopra Danda,28.5000,83.6500,Myagdi,12,16,8,2,9,0,0,0,100,90,92.0,HIGH
Swanta Village,28.4500,83.6500,Myagdi,5,8,0,4,6,20,15,5,45,55,60.0,MEDIUM
Bans Kharka Trail,28.4000,83.6000,Myagdi,7,10,3,3,7,10,10,3,65,70,72.0,HIGH
Dhaulagiri Circuit,28.7500,83.3500,Myagdi,20,20,20,0,10,0,0,0,100,100,99.0,HIGH
French Pass Route,28.8000,83.3000,Myagdi,20,20,20,0,10,0,0,0,100,100,99.0,HIGH
Italian Base Camp,28.7500,83.3500,Myagdi,18,20,18,0,10,0,0,0,100,100,99.0,HIGH
Dhaulagiri Hidden Valley,28.8500,83.2500,Myagdi,18,20,18,0,10,0,0,0,100,100,99.0,HIGH
Yak Kharka Dhaulagiri,28.7800,83.3200,Myagdi,15,18,12,0,10,0,0,0,100,95,95.0,HIGH
Italian Camp Glacier Route,28.7300,83.3700,Myagdi,18,20,20,0,10,0,0,0,100,100,99.0,HIGH
Rupse Waterfall Trail,28.5500,83.6500,Myagdi,3,5,0,10,4,40,30,10,25,45,50.0,MEDIUM
Beni Bazaar View,28.3500,83.5500,Myagdi,2,3,0,8,4,70,60,20,5,25,30.0,LOW
Tatopani Natural Spring,28.4800,83.6500,Myagdi,3,4,0,12,4,40,30,10,25,45,50.0,MEDIUM
Poon Hill Sunrise Trail,28.4000,83.6900,Myagdi,6,8,2,3,6,20,15,5,45,55,60.0,MEDIUM
Ghandruk Village,28.3700,83.8000,Kaski,5,7,0,5,5,30,25,10,30,45,50.0,MEDIUM
Chhomrong Village,28.5200,83.8200,Kaski,10,15,6,2,8,0,0,0,100,85,88.0,HIGH
Machhapuchhre Base Camp,28.5000,83.9500,Kaski,18,20,15,0,10,0,0,0,100,100,98.0,HIGH
Annapurna Sanctuary Trail,28.5300,83.8800,Kaski,16,20,15,0,10,0,0,0,100,100,98.0,HIGH
Deurali Annapurna,28.5400,83.8500,Kaski,15,18,12,0,10,0,0,0,100,95,95.0,HIGH
Bamboo Annapurna Camp,28.5600,83.8200,Kaski,12,16,8,2,9,0,0,0,100,90,92.0,HIGH
Tadapani Trail,28.3500,83.8000,Kaski,5,8,0,4,6,20,15,5,45,55,60.0,MEDIUM
Landruk Village,28.3700,83.8500,Kaski,4,6,0,5,5,30,25,10,30,45,50.0,MEDIUM
Australian Camp,28.3300,83.8300,Kaski,2,3,0,3,4,70,60,20,5,20,25.0,LOW
Dhampus Village,28.2600,83.8200,Kaski,2,2,0,4,4,80,70,25,5,15,20.0,LOW
Kahule Hill Trail,28.3000,83.7500,Kaski,3,5,0,4,5,50,40,15,20,35,40.0,MEDIUM
Panchase Lake Route,28.2500,83.8500,Kaski,5,8,0,3,5,30,25,10,35,45,50.0,MEDIUM
Sikles Annapurna Trail,28.4500,84.0500,Kaski,7,10,3,4,7,10,10,3,65,70,72.0,HIGH
Tara Top View,28.4700,83.9000,Kaski,8,12,4,3,8,5,5,2,70,75,78.0,HIGH
Kori Danda,28.5000,84.0000,Kaski,12,16,8,2,9,0,0,0,100,90,92.0,HIGH
Kapuche Lake Trail,28.5500,84.1500,Kaski,15,18,12,0,10,0,0,0,100,95,95.0,HIGH
Begnas Kot Trail,28.1800,84.0800,Kaski,2,3,0,10,3,60,50,20,10,35,38.0,MEDIUM
Rupa Lake Hiking Route,28.1500,84.1000,Kaski,2,2,0,10,3,60,50,20,10,35,38.0,MEDIUM
Lamachaur Trail,28.2500,83.9500,Kaski,1,3,0,5,4,70,60,20,5,20,25.0,LOW
Naudanda View Point,28.2500,83.9000,Kaski,1,2,0,4,3,80,70,25,5,15,20.0,LOW
Hemja Peace Trail,28.2700,83.9300,Kaski,1,1,0,5,3,90,80,30,0,15,18.0,LOW
Sarangkot Paragliding Zone,28.2100,83.9500,Kaski,4,2,0,5,3,90,80,30,15,20,25.0,LOW
Begnas View Tower,28.1800,84.0800,Kaski,2,2,0,8,3,70,60,20,10,30,35.0,MEDIUM
Kahun Danda Camp,28.2700,84.0000,Kaski,3,5,0,4,5,50,40,15,20,35,40.0,MEDIUM
Machhapuchhre Rural Route,28.4500,83.9500,Kaski,8,12,5,2,8,5,5,2,70,75,78.0,HIGH
Ama Dablam Base Camp,27.8600,86.8600,Solukhumbu,10,19,18,1,10,0,0,0,100,100,100.0,HIGH
Pheriche Village,27.9000,86.8200,Solukhumbu,8,17,15,1,10,0,0,0,100,100,100.0,HIGH
Dingboche Village,27.8900,86.8300,Solukhumbu,7,15,13,1,9,0,0,0,100,100,100.0,HIGH
Imja Lake,27.9000,86.9300,Solukhumbu,10,19,18,1,10,0,0,0,100,100,100.0,HIGH
Mera Peak Base Camp,27.7000,86.9000,Solukhumbu,10,19,18,1,10,0,0,0,100,100,100.0,HIGH
Hinku Valley,27.6500,86.8500,Solukhumbu,8,16,13,2,10,0,0,0,100,100,100.0,HIGH
Makalu View Point,27.5500,87.1000,Sankhuwasabha,7,15,10,2,9,0,0,0,100,95,98.0,HIGH
Kangchenjunga South Base Camp,27.6000,87.8000,Taplejung,10,19,18,1,10,0,0,0,100,100,100.0,HIGH
Ghunsa Trek Area,27.7200,87.9000,Taplejung,9,18,16,1,10,0,0,0,100,100,100.0,HIGH
Olangchung Gola Route,27.6700,87.8000,Taplejung,8,17,14,1,10,0,0,0,100,100,100.0,HIGH
Panchthar Silautibazar,27.1500,87.8500,Panchthar,2,5,0,4,5,8,6,2,50,45,47.0,MEDIUM
Khoranga View Area,27.2500,87.7000,Panchthar,3,7,1,3,5,3,3,1,65,60,62.0,MEDIUM
Kanchenjunga Trek Entry,27.3500,87.7000,Taplejung,6,14,10,2,9,0,0,0,100,95,98.0,HIGH
Mai River Corridor,26.9000,87.9000,Ilam,3,1,0,10,3,8,6,2,45,50,48.0,MEDIUM
Tea Garden View Ilam,26.9000,87.9300,Ilam,1,2,0,3,3,15,12,3,20,20,20.0,LOW
Kanyam Tea Estate,26.9000,87.9300,Ilam,1,1,0,3,2,20,15,5,10,15,12.0,LOW
Antu Danda Route,26.8800,87.9000,Ilam,2,4,0,3,4,8,6,2,40,35,37.0,MEDIUM
Mai Pokhari Trail,26.9700,87.9500,Ilam,2,3,0,5,3,10,8,2,35,30,32.0,LOW
Chhintang Falls,26.9800,87.2500,Dhankuta,3,7,0,6,4,5,4,1,55,50,52.0,MEDIUM
Hile View Tower,26.9900,87.3300,Dhankuta,1,2,0,3,3,12,10,3,25,25,25.0,LOW
Bhedetar Hill,26.8000,87.2800,Dhankuta,1,3,0,2,3,20,15,5,15,20,17.0,LOW
Namaste Jharna,27.0500,87.3500,Dhankuta,3,6,0,6,4,5,4,1,55,50,52.0,MEDIUM
Tinjure Peak,27.2500,87.4000,Tehrathum,6,13,7,2,8,0,0,0,100,95,98.0,HIGH
Milke Danda,27.2500,87.3500,Tehrathum,5,12,6,2,8,0,0,0,100,90,96.0,HIGH
Mundum Trail Bhojpur,27.4000,87.0000,Bhojpur,5,12,5,3,8,0,1,0,95,85,89.0,HIGH
Salpa Pokhari,27.4500,86.9500,Bhojpur,7,15,10,2,9,0,0,0,100,95,98.0,HIGH
Temke Hill,27.3000,86.9500,Bhojpur,5,12,5,2,8,0,1,0,95,85,89.0,HIGH
Halesi Mahadev Area,27.3200,86.7200,Khotang,1,2,0,3,4,20,15,5,15,15,15.0,LOW
Barah Pokhari Khotang,27.3000,86.9000,Khotang,4,10,3,4,6,1,1,0,90,80,84.0,HIGH
Diktel Bazaar,27.2100,86.7900,Khotang,2,5,0,3,5,8,6,2,50,45,47.0,MEDIUM
Okhaldhunga View,27.3200,86.5000,Okhaldhunga,1,4,0,4,5,10,8,2,45,40,42.0,MEDIUM
Pike Peak Route,27.6000,86.6000,Solukhumbu,7,15,10,2,9,0,0,0,100,95,98.0,HIGH
Ramechhap Trail Area,27.5000,86.3000,Ramechhap,4,9,3,3,7,1,1,0,90,80,84.0,HIGH
Kalinchowk Snow Area,27.8000,86.0200,Dolakha,6,14,9,2,9,0,0,0,100,95,98.0,HIGH
Jiri Hiking Route,27.6300,86.2300,Dolakha,3,8,2,4,6,5,4,1,65,70,68.0,HIGH
Charikot Market,27.6700,86.0500,Dolakha,1,3,0,3,5,12,10,3,30,30,30.0,LOW
Melamchi Bazaar,28.0000,85.6000,Sindhupalchok,3,5,0,12,7,5,4,1,65,70,68.0,HIGH
Jugal Himal Route,28.1000,85.8000,Sindhupalchok,9,18,15,1,10,0,0,0,100,100,100.0,HIGH
Panch Pokhari Lake,28.0000,85.6500,Sindhupalchok,6,14,8,2,9,0,0,0,100,95,98.0,HIGH
Helambu Pass,28.0500,85.5000,Sindhupalchok,7,15,10,2,9,0,0,0,100,95,98.0,HIGH
Nuwakot Trishuli,28.0000,85.2000,Nuwakot,7,1,0,18,4,3,3,1,90,75,84.0,HIGH
Kakani Picnic Area,27.8000,85.2600,Nuwakot,1,2,0,3,3,15,12,3,20,20,20.0,LOW
Rasuwa Gosainkunda Route,28.0800,85.4200,Rasuwa,9,18,16,1,10,0,0,0,100,100,100.0,HIGH
Place,Latitude,Longitude,District,accidents,landslide,avalanche,flood,earthquake_damage,Hospital,Police,Fire Station,Emergency_Risk,Natural_Disaster_Risk,Tourism_Risk_Index,Risk_Category
Manaslu Base Camp,28.6500,84.5500,Gorkha,10,19,18,1,10,0,0,0,100,100,100.0,HIGH
Larkya Pass,28.6500,84.7200,Gorkha,10,20,20,1,10,0,0,0,100,100,100.0,HIGH
Samagaun Village,28.6500,84.6300,Gorkha,8,17,15,1,10,0,0,0,100,100,100.0,HIGH
Tsum Valley,28.5500,85.0000,Gorkha,8,16,12,2,9,0,0,0,100,95,98.0,HIGH
Chum Valley Route,28.5800,85.0500,Gorkha,7,15,11,2,9,0,0,0,100,95,98.0,HIGH
Barpak Village,28.2000,84.7500,Gorkha,5,12,6,3,8,1,1,0,95,85,89.0,HIGH
Laprak Village,28.2500,84.7500,Gorkha,6,13,7,2,8,0,1,0,95,90,93.0,HIGH
Gorkha Durbar,28.0000,84.6300,Gorkha,1,3,0,4,7,15,12,3,30,40,35.0,MEDIUM
Manakamana Temple,27.9500,84.5800,Gorkha,2,5,0,5,6,10,8,2,50,45,47.0,MEDIUM
Trishuli River Gorkha,28.0000,84.8000,Gorkha,6,2,0,15,4,3,3,1,80,75,78.0,HIGH
Annapurna Base Camp,28.5300,84.5600,Kaski,15,10,8,3,7,0,4,0,80,100,92.0,HIGH
Annapurna Circuit Thorong La,28.7900,84.2500,Manang,12,19,18,1,10,0,0,0,100,100,100.0,HIGH
Tilicho Lake,28.6700,84.0000,Manang,10,18,17,1,10,0,0,0,100,100,100.0,HIGH
Manang Village,28.6700,84.0200,Manang,6,14,12,1,9,0,0,0,100,95,98.0,HIGH
Ice Lake Manang,28.6500,84.1000,Manang,8,16,14,1,9,0,0,0,100,98,99.0,HIGH
Nar Phu Valley,28.8500,84.2000,Manang,9,18,16,1,10,0,0,0,100,100,100.0,HIGH
Muktinath Temple,28.8200,83.8700,Mustang,2,5,0,3,5,8,6,2,50,45,47.0,MEDIUM
Jomsom Valley,28.7800,83.7200,Mustang,4,9,4,2,7,3,3,1,75,80,78.0,HIGH
Kagbeni Village,28.8400,83.7800,Mustang,3,7,2,4,6,2,2,0,75,70,73.0,HIGH
Marpha Village,28.7500,83.6900,Mustang,1,4,0,3,5,10,8,2,45,40,42.0,MEDIUM
Tukuche Village,28.7600,83.6500,Mustang,2,6,1,3,6,5,4,1,65,60,62.0,MEDIUM
Kagbeni River Area,28.8400,83.7800,Mustang,5,2,0,14,4,3,3,1,75,70,73.0,HIGH
Upper Mustang Lo Manthang,29.1900,83.9600,Mustang,0,0,0,0,0,0,0,0,100,0,40.0,MEDIUM
Dhumba Lake,28.8000,83.7300,Mustang,2,3,0,3,5,5,4,1,55,50,52.0,MEDIUM
Poon Hill,28.4000,83.6900,Myagdi,0,0,0,0,0,0,0,0,100,0,40.0,MEDIUM
Ghorepani Village,28.4000,83.6900,Myagdi,2,6,1,3,5,5,4,1,60,55,58.0,MEDIUM
Khopra Danda,28.4300,83.7500,Myagdi,5,12,8,2,8,0,0,0,100,95,98.0,HIGH
Dhaulagiri Base Camp,28.7000,83.4800,Myagdi,10,19,18,1,10,0,0,0,100,100,100.0,HIGH
Tatopani Myagdi,28.5000,83.6500,Myagdi,3,2,0,12,4,5,4,1,65,65,65.0,HIGH
Beni Bazaar,28.3500,83.5500,Myagdi,1,4,0,5,5,15,12,3,35,40,37.0,MEDIUM
Rupa Kot View,28.1500,84.1300,Kaski,1,3,0,5,4,10,8,2,45,40,42.0,MEDIUM
Machhapuchhre Base Camp,28.5000,84.0000,Kaski,9,18,15,1,10,0,0,0,100,100,100.0,HIGH
Mardi Himal Base Camp,28.4500,84.0000,Kaski,7,15,10,2,9,0,0,0,100,95,98.0,HIGH
Australian Camp,28.3000,83.8000,Kaski,2,5,0,3,5,8,6,2,50,45,47.0,MEDIUM
Dhampus Village,28.3200,83.8300,Kaski,1,3,0,3,4,15,12,3,30,30,30.0,LOW
Tansen Palpa,27.8700,83.5500,Palpa,1,3,0,4,5,15,12,3,30,35,32.0,LOW
Rani Mahal,27.8500,83.5400,Palpa,2,4,0,10,4,8,6,2,50,55,52.0,MEDIUM
Srinagar Hill Palpa,27.8700,83.5500,Palpa,1,3,0,3,4,12,10,3,30,30,30.0,LOW
Ridi Bazaar,27.8500,83.8500,Gulmi,2,5,0,8,5,8,6,2,55,50,52.0,MEDIUM
Resunga Forest,28.0500,83.2500,Gulmi,3,7,1,3,5,5,4,1,60,55,58.0,MEDIUM
Satyawati Lake Gulmi,28.0000,83.2500,Gulmi,3,6,0,4,5,5,4,1,60,55,58.0,MEDIUM
Jaljala Rolpa,28.3500,82.6000,Rolpa,6,14,8,2,9,0,0,0,100,95,98.0,HIGH
Thawang Rolpa,28.5000,82.7000,Rolpa,5,12,5,3,8,0,1,0,95,85,89.0,HIGH

Upper Seti River Trail,28.2000,84.0000,Kaski,3,3,0,12,4,60,50,20,15,35,40.0,MEDIUM
Annapurna Cable Route Area,28.2100,83.9600,Kaski,2,2,0,5,3,90,80,30,0,15,18.0,LOW
Fewa Lake Boating Area,28.2100,83.9500,Kaski,2,1,0,15,3,90,80,30,0,25,30.0,LOW
Pumdikot View Point,28.1500,83.9200,Kaski,2,3,0,5,4,70,60,20,5,20,25.0,LOW
Rupa Lake Forest Trail,28.1300,84.1100,Kaski,3,5,0,10,4,50,40,15,20,40,45.0,MEDIUM
Lamjung Himal Route,28.4500,84.3000,Lamjung,12,16,8,2,9,0,0,0,100,90,92.0,HIGH
Ngadi Waterfall Trail,28.3500,84.4200,Lamjung,4,6,0,8,5,30,25,10,30,45,50.0,MEDIUM
Bahun Danda Trek Route,28.3800,84.4000,Lamjung,6,10,3,4,7,10,10,3,65,70,72.0,HIGH
Ghalegaun Heritage Trail,28.2800,84.4200,Lamjung,3,5,0,4,5,40,30,10,25,40,45.0,MEDIUM
Bhujung Homestay Area,28.3000,84.3500,Lamjung,4,6,0,5,5,30,25,10,30,45,50.0,MEDIUM
Ilampokhari Lake,28.5500,84.3000,Lamjung,8,12,5,2,8,5,5,2,70,75,78.0,HIGH
Manang Tilicho Junction,28.6500,84.1000,Manang,14,18,12,1,10,0,0,0,100,95,95.0,HIGH
Braga Monastery,28.6500,84.0200,Manang,5,8,2,2,7,10,10,3,65,70,72.0,HIGH
Yak Kharka Trail,28.7000,84.0000,Manang,15,18,12,0,10,0,0,0,100,95,95.0,HIGH
Thorong High Camp,28.7900,84.0000,Manang,20,20,20,0,10,0,0,0,100,100,99.0,HIGH
Muktinath Temple Route,28.8200,83.8700,Mustang,6,8,2,1,7,10,10,3,65,70,72.0,HIGH
Jomsom Airport Trail,28.7800,83.7200,Mustang,5,5,0,4,6,20,15,5,45,55,60.0,MEDIUM
Kagbeni River Camp,28.8500,83.7800,Mustang,7,10,3,8,7,5,5,2,70,75,78.0,HIGH
Lo Manthang Palace,29.1900,83.9600,Mustang,3,5,0,0,6,20,15,5,45,55,60.0,MEDIUM
Namgyal Gompa,29.2000,83.9500,Mustang,4,6,0,0,6,15,10,3,55,60,65.0,MEDIUM
Choser Cave Route,29.2600,83.9600,Mustang,6,10,3,0,7,10,10,3,65,70,72.0,HIGH
Mustang Yara Valley,29.1500,83.9000,Mustang,12,16,8,0,9,0,0,0,100,90,92.0,HIGH
Dheye Village Trail,29.1000,83.8500,Mustang,10,15,5,0,8,0,0,0,100,85,88.0,HIGH
Muktinath View Ridge,28.8200,83.8600,Mustang,5,8,2,1,7,10,10,3,65,70,72.0,HIGH
Dhorpatan Valley Camp,28.5000,83.0000,Baglung,12,16,8,3,9,0,0,0,100,90,92.0,HIGH
Phalebas Hill Trail,28.2000,83.7000,Parbat,3,5,0,5,5,40,30,10,25,40,45.0,MEDIUM
Kushma Cliff Bridge,28.2200,83.6800,Parbat,3,2,0,8,4,60,50,20,10,35,40.0,MEDIUM
Modi River Camp,28.3500,83.7000,Parbat,6,3,0,15,5,20,15,5,55,70,75.0,HIGH
Beni-Parbat Trail,28.3500,83.5500,Parbat,5,8,0,8,6,20,15,5,45,60,65.0,HIGH
Gupteshwor Cave,28.2000,83.9500,Kaski,1,1,0,5,3,90,80,30,0,15,18.0,LOW
Devi's Fall Area,28.1900,83.9600,Kaski,2,1,0,8,3,90,80,30,0,20,25.0,LOW
International Mountain Museum Area,28.1900,83.9800,Kaski,1,1,0,3,3,90,80,30,0,10,15.0,LOW
Rara National Park Trail,29.5300,82.0800,Mugu,8,12,5,3,8,0,0,0,100,85,88.0,HIGH
Rara View Tower,29.5300,82.0900,Mugu,5,8,2,4,7,10,10,3,65,70,72.0,HIGH
Rara Lakeside Camp,29.5200,82.1000,Mugu,6,10,3,5,8,5,5,2,70,75,78.0,HIGH
Mugu Karnali River Camp,29.6000,82.2000,Mugu,10,15,5,18,8,0,0,0,100,90,92.0,HIGH
Chhayanath Temple Trail,29.5500,82.1000,Mugu,3,6,0,5,6,20,15,5,45,55,60.0,MEDIUM
Shey Phoksundo Lake,29.1700,82.9500,Dolpa,15,18,12,0,10,0,0,0,100,95,95.0,HIGH
Phoksundo Waterfall Route,29.2000,82.9500,Dolpa,12,16,8,1,9,0,0,0,100,90,92.0,HIGH
Upper Dolpo Trek Route,29.3000,83.0000,Dolpa,18,20,18,0,10,0,0,0,100,100,99.0,HIGH
Shey Gompa,29.3500,82.9500,Dolpa,10,15,8,0,9,0,0,0,100,90,92.0,HIGH
